"method","path","source","generic_auth_middleware","generic_idempotency_middleware","openapi_literal_or_parameter_match"
"GET","/v1/bootstrap","api/src/index.ts:311","","","true"
"POST","/v1/identities","api/src/routes/identity/identities.ts:45","api/src/index.ts:320","api/src/index.ts:556","true"
"GET","/v1/identities","api/src/routes/identity/identities.ts:142","api/src/index.ts:320","api/src/index.ts:556","false"
"GET","/v1/identities/:id","api/src/routes/identity/identities.ts:190","api/src/index.ts:320","api/src/index.ts:556","true"
"PATCH","/v1/identities/:id","api/src/routes/identity/identities.ts:258","api/src/index.ts:320","api/src/index.ts:556","true"
"DELETE","/v1/identities/:id","api/src/routes/identity/identities.ts:486","api/src/index.ts:320","api/src/index.ts:556","true"
"POST","/v1/attestations","api/src/routes/identity/attestations.ts:113","api/src/index.ts:321","","true"
"GET","/v1/attestations/:id","api/src/routes/identity/attestations.ts:252","api/src/index.ts:321","","true"
"DELETE","/v1/attestations/:id","api/src/routes/identity/attestations.ts:284","api/src/index.ts:321","","true"
"POST","/v1/delegations","api/src/routes/identity/delegations.ts:28","api/src/index.ts:322","","false"
"GET","/v1/delegations/:id","api/src/routes/identity/delegations.ts:145","api/src/index.ts:322","","false"
"GET","/v1/delegations/:id/verify","api/src/routes/identity/delegations.ts:155","api/src/index.ts:322","","false"
"DELETE","/v1/delegations/:id","api/src/routes/identity/delegations.ts:187","api/src/index.ts:322","","false"
"GET","/v1/discover","api/src/routes/identity/discover.ts:61","api/src/index.ts:323","","true"
"POST","/v1/tokens/verify","api/src/routes/identity/token-verify.ts:27","api/src/index.ts:324","","true"
"GET","/v1/identities/:id/keys","api/src/routes/identity/keys.ts:110","api/src/index.ts:320","api/src/index.ts:556","true"
"POST","/v1/identities/:id/keys","api/src/routes/identity/keys.ts:164","api/src/index.ts:320","api/src/index.ts:556","true"
"POST","/v1/identities/:id/keys/import","api/src/routes/identity/keys.ts:247","api/src/index.ts:320","api/src/index.ts:556","true"
"DELETE","/v1/identities/:id/keys/:kid","api/src/routes/identity/keys.ts:365","api/src/index.ts:320","api/src/index.ts:556","false"
"GET","/v1/identities/:id/attestations","api/src/routes/identity/identity-attestations.ts:16","api/src/index.ts:320","api/src/index.ts:556","true"
"GET","/v1/identities/:id/attestations/given","api/src/routes/identity/identity-attestations.ts:47","api/src/index.ts:320","api/src/index.ts:556","true"
"GET","/v1/identities/:id/delegations","api/src/routes/identity/identity-delegations.ts:25","api/src/index.ts:320","api/src/index.ts:556","false"
"GET","/v1/identities/:id/delegations/granted","api/src/routes/identity/identity-delegations.ts:45","api/src/index.ts:320","api/src/index.ts:556","false"
"POST","/v1/identities/:id/tokens","api/src/routes/identity/tokens.ts:14","api/src/index.ts:320","api/src/index.ts:556","true"
"GET","/v1/identities/:id/expression","api/src/routes/identity/expression.ts:25","api/src/index.ts:320","api/src/index.ts:556","true"
"PUT","/v1/identities/:id/expression","api/src/routes/identity/expression.ts:42","api/src/index.ts:320","api/src/index.ts:556","true"
"GET","/v1/identities/:id/authority","api/src/routes/identity/authority.ts:21","api/src/index.ts:320","api/src/index.ts:556","true"
"GET","/v1/identities/:id/foundations","api/src/routes/identity/foundations.ts:23","api/src/index.ts:320","api/src/index.ts:556","true"
"GET","/v1/identities/:id/pulse","api/src/routes/identity/pulse.ts:18","api/src/index.ts:320","api/src/index.ts:556","true"
